GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Rev-PasswordManager,com.revature.passwordmanager.dto.response,EmergencyVaultResponse.EmergencyVaultEntry,301,0,54,0,10,0,46,0,19,0
Rev-PasswordManager,com.revature.passwordmanager.dto.response,PasswordHealthMetricsResponse.PasswordCategoryBreakdown,141,31,20,0,2,6,19,6,9,6
Rev-PasswordManager,com.revature.passwordmanager.dto.response,ExpiryStatusResponse.EntryExpiryDetail.EntryExpiryDetailBuilder,111,0,0,0,1,0,14,0,14,0
Rev-PasswordManager,com.revature.passwordmanager.dto.response,AIInsightResponse.AIInsightResponseBuilder,0,46,0,0,0,1,0,7,0,7
Rev-PasswordManager,com.revature.passwordmanager.dto.response,TokenValidationResponse,5,67,3,7,0,5,3,11,0,9
Rev-PasswordManager,com.revature.passwordmanager.dto.response,TimelineSummaryResponse.WeeklyActivityBucket.WeeklyActivityBucketBuilder,6,21,0,0,0,1,1,4,1,4
Rev-PasswordManager,com.revature.passwordmanager.dto.response,SecurityTrendResponse,61,137,23,9,0,8,14,17,0,15
Rev-PasswordManager,com.revature.passwordmanager.dto.response,GeneratedMultiplePasswordsResponse,9,77,6,8,0,5,5,11,0,9
Rev-PasswordManager,com.revature.passwordmanager.dto.response,RegenerateCodesResponse,43,116,17,9,0,7,11,15,0,13
Rev-PasswordManager,com.revature.passwordmanager.dto.response,SessionResponse.SessionResponseBuilder,0,84,0,0,0,1,0,11,0,11
Rev-PasswordManager,com.revature.passwordmanager.dto.response,TimelineSummaryResponse.WeeklyActivityBucket,92,19,16,0,2,4,15,4,7,4
Rev-PasswordManager,com.revature.passwordmanager.dto.response,BreachHistoryResponse.ScanHistoryEntry.ScanHistoryEntryBuilder,64,0,0,0,1,0,9,0,9,0
Rev-PasswordManager,com.revature.passwordmanager.dto.response,PasswordAgeResponse.AgeDistributionBucket,132,31,20,0,2,6,19,6,9,6
Rev-PasswordManager,com.revature.passwordmanager.dto.response,SecurityAuditResponse.SecurityAuditResponseBuilder,0,94,0,0,0,1,0,12,0,12
Rev-PasswordManager,com.revature.passwordmanager.dto.response,ViewPasswordResponse.ViewPasswordResponseBuilder,0,18,0,0,0,1,0,4,0,4
Rev-PasswordManager,com.revature.passwordmanager.dto.response,HeatmapResponse,99,186,37,11,0,10,22,21,0,19
Rev-PasswordManager,com.revature.passwordmanager.dto.response,LoginHistoryResponse,119,212,45,13,0,11,27,23,0,21
Rev-PasswordManager,com.revature.passwordmanager.dto.response,ViewPasswordResponse,9,76,6,8,0,5,5,11,0,9
Rev-PasswordManager,com.revature.passwordmanager.dto.response,AIInsightResponse,50,135,19,9,0,8,12,17,0,15
Rev-PasswordManager,com.revature.passwordmanager.dto.response,EmergencyContactResponse.EmergencyContactResponseBuilder,0,82,0,0,0,1,0,11,0,11
Rev-PasswordManager,com.revature.passwordmanager.dto.response,ImportResult,37,126,13,7,0,8,8,17,0,15
Rev-PasswordManager,com.revature.passwordmanager.dto.response,ChatResponse.MessageDto,172,0,30,0,7,0,28,0,13,0
Rev-PasswordManager,com.revature.passwordmanager.dto.response,ReusedPasswordResponse.ReusedEntryInfo,183,31,38,0,2,6,28,6,9,6
Rev-PasswordManager,com.revature.passwordmanager.dto.response,AIInsightResponse.Insight,197,0,32,0,8,0,31,0,15,0
Rev-PasswordManager,com.revature.passwordmanager.dto.response,SecurityAuditResponse,108,240,38,10,0,13,22,27,0,25
Rev-PasswordManager,com.revature.passwordmanager.dto.response,TrashCountResponse.TrashCountResponseBuilder,0,18,0,0,0,1,0,4,0,4
Rev-PasswordManager,com.revature.passwordmanager.dto.response,TimelineSummaryResponse.TimelineSummaryResponseBuilder,0,101,0,0,0,1,0,13,0,13
Rev-PasswordManager,com.revature.passwordmanager.dto.response,TrashEntryResponse,137,242,51,13,0,12,30,25,0,23
Rev-PasswordManager,com.revature.passwordmanager.dto.response,DashboardResponse.DashboardResponseBuilder,0,81,0,0,0,1,0,11,0,11
Rev-PasswordManager,com.revature.passwordmanager.dto.response,AuditLogResponse,85,173,34,12,0,9,21,19,0,17
Rev-PasswordManager,com.revature.passwordmanager.dto.response,HealthResponse.ComponentHealth,128,0,22,0,6,0,22,0,11,0
Rev-PasswordManager,com.revature.passwordmanager.dto.response,SecureFileListResponse.SecureFileListResponseBuilder,0,47,0,0,0,1,0,7,0,7
Rev-PasswordManager,com.revature.passwordmanager.dto.response,TwoFactorStatusResponse.TwoFactorStatusResponseBuilder,0,18,0,0,0,1,0,4,0,4
Rev-PasswordManager,com.revature.passwordmanager.dto.response,SnapshotResponse.SnapshotResponseBuilder,0,46,0,0,0,1,0,7,0,7
Rev-PasswordManager,com.revature.passwordmanager.dto.response,TwoFactorSetupResponse.TwoFactorSetupResponseBuilder,0,27,0,0,0,1,0,5,0,5
Rev-PasswordManager,com.revature.passwordmanager.dto.response,VerifySetupResponse,43,116,17,9,0,7,11,15,0,13
Rev-PasswordManager,com.revature.passwordmanager.dto.response,BreachScanResponse.BreachScanResponseBuilder,0,74,0,0,0,1,0,10,0,10
Rev-PasswordManager,com.revature.passwordmanager.dto.response,SecurityAuditResponse.VaultEntrySummary,183,31,38,0,2,6,28,6,9,6
Rev-PasswordManager,com.revature.passwordmanager.dto.response,CompromisedCredentialResponse.CompromisedCredentialResponseBuilder,0,92,0,0,0,1,0,12,0,12
Rev-PasswordManager,com.revature.passwordmanager.dto.response,MessageResponse.MessageResponseBuilder,2,36,1,1,0,1,1,5,0,5
Rev-PasswordManager,com.revature.passwordmanager.dto.response,BreachScanResponse,106,205,39,11,0,11,23,23,0,21
Rev-PasswordManager,com.revature.passwordmanager.dto.response,CompromisedCredentialResponse,145,264,54,14,0,13,32,27,0,25
Rev-PasswordManager,com.revature.passwordmanager.dto.response,BreachStatusResponse.BreachStatusResponseBuilder,0,64,0,0,0,1,0,9,0,9
Rev-PasswordManager,com.revature.passwordmanager.dto.response,EntryTimelineResponse.EntryTimelineResponseBuilder,0,82,0,0,0,1,0,11,0,11
Rev-PasswordManager,com.revature.passwordmanager.dto.response,ChatResponse.ChatResponseBuilder,0,75,0,0,0,1,0,10,0,10
Rev-PasswordManager,com.revature.passwordmanager.dto.response,TimelineEventDTO.TimelineEventDTOBuilder,0,100,0,0,0,1,0,13,0,13
Rev-PasswordManager,com.revature.passwordmanager.dto.response,BreachStatusResponse,76,178,28,10,0,10,17,21,0,19
Rev-PasswordManager,com.revature.passwordmanager.dto.response,PasswordStrengthResponse.PasswordStrengthResponseBuilder,0,37,0,0,0,1,0,6,0,6
Rev-PasswordManager,com.revature.passwordmanager.dto.response,SecureFileListResponse.FileItem.FileItemBuilder,83,0,0,0,1,0,11,0,11,0
Rev-PasswordManager,com.revature.passwordmanager.dto.response,SecurityTrendResponse.TrendDataPoint,153,37,22,0,2,7,21,7,10,7
Rev-PasswordManager,com.revature.passwordmanager.dto.response,ExpiryStatusResponse,51,165,17,7,0,10,10,21,0,19
Rev-PasswordManager,com.revature.passwordmanager.dto.response,LoginHistoryResponse.LoginHistoryResponseBuilder,0,73,0,0,0,1,0,10,0,10
Rev-PasswordManager,com.revature.passwordmanager.dto.response,GeneratedPasswordResponse,9,76,6,8,0,5,5,11,0,9
Rev-PasswordManager,com.revature.passwordmanager.dto.response,DashboardResponse,53,194,16,6,0,10,9,24,0,22
Rev-PasswordManager,com.revature.passwordmanager.dto.response,MessageResponse,28,115,13,9,0,10,9,15,0,13
Rev-PasswordManager,com.revature.passwordmanager.dto.response,TeamMemberResponse.TeamMemberResponseBuilder,0,64,0,0,0,1,0,9,0,9
Rev-PasswordManager,com.revature.passwordmanager.dto.response,ShareLinkResponse.ShareLinkResponseBuilder,0,119,0,0,0,1,0,15,0,15
Rev-PasswordManager,com.revature.passwordmanager.dto.response,SecureFileListResponse.FolderItem,215,0,38,0,8,0,34,0,15,0
Rev-PasswordManager,com.revature.passwordmanager.dto.response,AuthResponse.AuthResponseBuilder,0,82,0,2,0,1,0,11,0,10
Rev-PasswordManager,com.revature.passwordmanager.dto.response,ImportResult.ImportResultBuilder,0,45,0,0,0,1,0,7,0,7
Rev-PasswordManager,com.revature.passwordmanager.dto.response,ChatResponse.MessageDto.MessageDtoBuilder,37,0,0,0,1,0,6,0,6,0
Rev-PasswordManager,com.revature.passwordmanager.dto.response,SecurityAuditResponse.VaultEntrySummary.VaultEntrySummaryBuilder,10,35,0,0,0,1,1,6,1,6
Rev-PasswordManager,com.revature.passwordmanager.dto.response,GeneratedMultiplePasswordsResponse.GeneratedMultiplePasswordsResponseBuilder,0,19,0,0,0,1,0,4,0,4
Rev-PasswordManager,com.revature.passwordmanager.dto.response,TeamMemberResponse,104,197,41,13,0,10,25,21,0,19
Rev-PasswordManager,com.revature.passwordmanager.dto.response,SecureFileListResponse.FileItem,388,0,70,0,12,0,58,0,23,0
Rev-PasswordManager,com.revature.passwordmanager.dto.response,GeneratedPasswordResponse.GeneratedPasswordResponseBuilder,0,18,0,0,0,1,0,4,0,4
Rev-PasswordManager,com.revature.passwordmanager.dto.response,SharedPasswordResponse.SharedPasswordResponseBuilder,0,91,0,0,0,1,0,12,0,12
Rev-PasswordManager,com.revature.passwordmanager.dto.response,FileUploadResponse,142,245,55,15,0,12,33,25,0,23
Rev-PasswordManager,com.revature.passwordmanager.dto.response,TimelineSummaryResponse.EntryActivitySummary,197,0,32,0,8,0,31,0,15,0
Rev-PasswordManager,com.revature.passwordmanager.dto.response,TokenValidationResponse.TokenValidationResponseBuilder,0,18,0,0,0,1,0,4,0,4
Rev-PasswordManager,com.revature.passwordmanager.dto.response,SecurityScoreResponse,84,226,28,8,0,13,16,27,0,25
Rev-PasswordManager,com.revature.passwordmanager.model.auth,OtpToken.OtpTokenBuilder,0,75,0,2,0,1,0,10,0,9
Rev-PasswordManager,com.revature.passwordmanager.model.auth,TwoFactorAuth,108,243,43,15,0,11,27,26,0,24
Rev-PasswordManager,com.revature.passwordmanager.model.auth,OtpToken,89,205,36,14,0,10,23,22,0,20
Rev-PasswordManager,com.revature.passwordmanager.model.auth,TwoFactorAuth.TwoFactorAuthBuilder,0,106,1,5,0,1,1,12,0,10
Rev-PasswordManager,com.revature.passwordmanager.scheduler,TrashCleanupScheduler,10,10,0,0,4,2,1,2,1,2
Rev-PasswordManager,com.revature.passwordmanager.scheduler,SecureShareCleanupScheduler,24,10,2,0,6,2,2,2,1,2
Rev-PasswordManager,com.revature.passwordmanager.scheduler,AccountDeletionScheduler,38,10,4,0,9,2,3,2,1,2
Rev-PasswordManager,com.revature.passwordmanager.exception,RateLimitExceededException,4,0,0,0,2,0,1,0,1,0
Rev-PasswordManager,com.revature.passwordmanager.exception,AuthenticationException,5,4,0,0,2,2,1,1,1,1
Rev-PasswordManager,com.revature.passwordmanager.exception,ResourceNotFoundException,0,23,0,0,0,4,0,2,0,2
Rev-PasswordManager,com.revature.passwordmanager.exception,GlobalExceptionHandler,87,157,3,1,15,30,8,9,6,9
Rev-PasswordManager,com.revature.passwordmanager.config,CaptchaConfig,104,73,25,3,0,5,21,6,7,6
Rev-PasswordManager,com.revature.passwordmanager.config,RateLimitConfig,65,48,12,0,0,4,12,5,6,5
Rev-PasswordManager,com.revature.passwordmanager.config,JwtConfig,67,70,17,1,0,4,12,8,3,8
Rev-PasswordManager,com.revature.passwordmanager.config,SecurityConfig,0,138,0,0,0,19,0,7,0,7
Rev-PasswordManager,com.revature.passwordmanager.config,CorsConfig,0,69,0,0,0,12,0,3,0,3
Rev-PasswordManager,com.revature.passwordmanager.config,OpenApiConfig,0,42,0,0,0,14,0,2,0,2
Rev-PasswordManager,com.revature.passwordmanager.config,EncryptionConfig,56,42,15,1,0,3,11,6,3,6
Rev-PasswordManager,com.revature.passwordmanager.model.dashboard,SecurityMetricsHistory.SecurityMetricsHistoryBuilder,0,101,0,0,0,1,0,13,0,13
Rev-PasswordManager,com.revature.passwordmanager.model.dashboard,SecurityMetricsHistory,103,249,35,9,0,14,20,29,0,27
Rev-PasswordManager,com.revature.passwordmanager.dto,FolderDTO.FolderDTOBuilder,0,66,0,0,0,1,0,9,0,9
Rev-PasswordManager,com.revature.passwordmanager.dto,SecurityAlertDTO,112,219,43,15,0,11,28,22,1,20
Rev-PasswordManager,com.revature.passwordmanager.dto,FolderDTO,104,199,41,13,0,10,25,21,0,19
Rev-PasswordManager,com.revature.passwordmanager.dto,CategoryDTO,104,197,41,13,0,10,25,21,0,19
Rev-PasswordManager,com.revature.passwordmanager.dto,SecurityQuestionDTO,28,100,13,9,0,6,9,13,0,11
Rev-PasswordManager,com.revature.passwordmanager.dto,SecurityQuestionDTO.SecurityQuestionDTOBuilder,0,27,0,0,0,1,0,5,0,5
Rev-PasswordManager,com.revature.passwordmanager.dto,NotificationDTO.NotificationDTOBuilder,0,64,0,0,0,1,0,9,0,9
Rev-PasswordManager,com.revature.passwordmanager.dto,NotificationDTO,93,195,36,14,0,10,24,20,1,18
Rev-PasswordManager,com.revature.passwordmanager.dto,CategoryDTO.CategoryDTOBuilder,0,64,0,0,0,1,0,9,0,9
Rev-PasswordManager,com.revature.passwordmanager.dto,SecurityAlertDTO.SecurityAlertDTOBuilder,0,73,0,0,0,1,0,10,0,10
Rev-PasswordManager,com.revature.passwordmanager.dto.request,ImportRequest,47,124,20,10,0,7,13,15,0,13
Rev-PasswordManager,com.revature.passwordmanager.dto.request,CreateTeamRequest.CreateTeamRequestBuilder,0,27,0,0,0,1,0,5,0,5
Rev-PasswordManager,com.revature.passwordmanager.dto.request,PasswordGeneratorRequest.PasswordGeneratorRequestBuilder,2,159,7,9,0,1,7,12,0,11
Rev-PasswordManager,com.revature.passwordmanager.dto.request,EmergencyAccessRequestDto,28,100,13,9,0,6,9,13,0,11
Rev-PasswordManager,com.revature.passwordmanager.dto.request,ToggleReadOnlyRequest,9,66,6,8,0,2,5,9,0,7
Rev-PasswordManager,com.revature.passwordmanager.dto.request,InviteMemberRequest,28,100,13,9,0,6,9,13,0,11
Rev-PasswordManager,com.revature.passwordmanager.dto.request,SetPasswordHintRequest.SetPasswordHintRequestBuilder,0,27,0,0,0,1,0,5,0,5
Rev-PasswordManager,com.revature.passwordmanager.dto.request,PasswordValidationRequest.PasswordValidationRequestBuilder,0,18,0,0,0,1,0,4,0,4
Rev-PasswordManager,com.revature.passwordmanager.dto.request,PasswordValidationRequest,9,76,6,8,0,5,5,11,0,9
Rev-PasswordManager,com.revature.passwordmanager.dto.request,VerifySecurityQuestionsRequest,28,88,13,9,0,3,9,11,0,9
Rev-PasswordManager,com.revature.passwordmanager.dto.request,CreateFolderRequest,28,100,13,9,0,6,9,13,0,11
Rev-PasswordManager,com.revature.passwordmanager.dto.request,AccountDeletionRequest,24,78,10,8,0,3,7,11,0,9
Rev-PasswordManager,com.revature.passwordmanager.dto.request,SetDuressPasswordRequest,9,76,6,8,0,5,5,11,0,9
Rev-PasswordManager,com.revature.passwordmanager.dto.request,ForgotPasswordRequest,9,66,6,8,0,2,5,9,0,7
Rev-PasswordManager,com.revature.passwordmanager.dto.request,RefreshTokenRequest,9,66,6,8,0,2,5,9,0,7
Rev-PasswordManager,com.revature.passwordmanager.dto.request,UpdateSecurityQuestionsRequest,28,88,13,9,0,3,9,11,0,9
Rev-PasswordManager,com.revature.passwordmanager.dto.request,VerifyCaptchaRequest,9,66,6,8,0,2,5,9,0,7
Rev-PasswordManager,com.revature.passwordmanager.dto.request,CreateCategoryRequest,28,100,13,9,0,6,9,13,0,11
Rev-PasswordManager,com.revature.passwordmanager.dto.request,PasswordGeneratorRequest,59,255,22,12,0,12,15,33,0,31
Rev-PasswordManager,com.revature.passwordmanager.dto.request,VaultEntryRequest.VaultEntryRequestBuilder,0,90,0,0,0,1,0,12,0,12
Rev-PasswordManager,com.revature.passwordmanager.dto.request,CreateShareRequest,68,170,25,9,0,9,15,22,0,20
Rev-PasswordManager,com.revature.passwordmanager.dto.request,VerifyMasterPasswordRequest,9,66,6,8,0,2,5,9,0,7
Rev-PasswordManager,com.revature.passwordmanager.dto.request,ChangePasswordRequest,28,87,13,9,0,3,9,11,0,9
Rev-PasswordManager,com.revature.passwordmanager.dto.request,CreateTeamRequest,28,100,13,9,0,6,9,13,0,11
Rev-PasswordManager,com.revature.passwordmanager.dto.request,AutofillSuggestionRequest,9,76,6,8,0,5,5,11,0,9
Rev-PasswordManager,com.revature.passwordmanager.dto.request,ThirdPartyImportRequest,28,100,13,9,0,6,9,13,0,11
Rev-PasswordManager,com.revature.passwordmanager.dto.request,EmergencyAccessRequestDto.EmergencyAccessRequestDtoBuilder,0,27,0,0,0,1,0,5,0,5
Rev-PasswordManager,com.revature.passwordmanager.dto.request,InviteMemberRequest.InviteMemberRequestBuilder,0,27,0,0,0,1,0,5,0,5
Rev-PasswordManager,com.revature.passwordmanager.dto.request,ExpiryPolicyRequest.ExpiryPolicyRequestBuilder,0,45,0,0,0,1,0,7,0,7
Rev-PasswordManager,com.revature.passwordmanager.dto.request,UpdateProfileRequest,47,124,20,10,0,7,13,15,0,13
Rev-PasswordManager,com.revature.passwordmanager.dto.request,AddEmergencyContactRequest.AddEmergencyContactRequestBuilder,0,45,0,0,0,1,0,7,0,7
Rev-PasswordManager,com.revature.passwordmanager.dto.request,RegistrationRequest,85,151,34,12,0,6,21,17,0,15
Rev-PasswordManager,com.revature.passwordmanager.dto.request,AutofillUsageRequest,43,115,17,9,0,7,11,15,0,13
Rev-PasswordManager,com.revature.passwordmanager.dto.request,SetDuressPasswordRequest.SetDuressPasswordRequestBuilder,0,18,0,0,0,1,0,4,0,4
Rev-PasswordManager,com.revature.passwordmanager.dto.request,UpdateProfileRequest.UpdateProfileRequestBuilder,0,36,0,0,0,1,0,6,0,6
Rev-PasswordManager,com.revature.passwordmanager.dto.request,LoginRequest,47,108,20,10,0,4,13,13,0,11
Rev-PasswordManager,com.revature.passwordmanager.dto.request,AddEmergencyContactRequest,66,148,27,11,0,8,17,17,0,15
Rev-PasswordManager,com.revature.passwordmanager.dto.request,ChatRequest.ChatRequestBuilder,0,18,0,0,0,1,0,4,0,4
Rev-PasswordManager,com.revature.passwordmanager.dto.request,SetPasswordHintRequest,28,100,13,9,0,6,9,13,0,11
Rev-PasswordManager,com.revature.passwordmanager.dto.request,VaultEntryRequest,161,268,62,16,0,13,37,27,0,25
Rev-PasswordManager,com.revature.passwordmanager.dto.request,ReceiveShareRequest.ReceiveShareRequestBuilder,0,27,0,0,0,1,0,5,0,5
Rev-PasswordManager,com.revature.passwordmanager.dto.request,SensitiveAccessRequest,28,100,13,9,0,6,9,13,0,11
Rev-PasswordManager,com.revature.passwordmanager.dto.request,ReceiveShareRequest,14,114,10,12,0,6,8,14,0,11
Rev-PasswordManager,com.revature.passwordmanager.dto.request,CreateCategoryRequest.CreateCategoryRequestBuilder,0,27,0,0,0,1,0,5,0,5
Rev-PasswordManager,com.revature.passwordmanager.dto.request,CreateFolderRequest.CreateFolderRequestBuilder,0,27,0,0,0,1,0,5,0,5
Rev-PasswordManager,com.revature.passwordmanager.dto.request,ChatRequest,9,76,6,8,0,5,5,11,0,9
Rev-PasswordManager,com.revature.passwordmanager.dto.request,RecoveryRequest,47,109,20,10,0,4,13,13,0,11
Rev-PasswordManager,com.revature.passwordmanager.dto.request,ThirdPartyImportRequest.ThirdPartyImportRequestBuilder,0,27,0,0,0,1,0,5,0,5
Rev-PasswordManager,com.revature.passwordmanager.dto.request,PasswordStrengthCheckRequest,9,76,6,8,0,5,5,11,0,9
Rev-PasswordManager,com.revature.passwordmanager.dto.request,ImportRequest.ImportRequestBuilder,0,36,0,0,0,1,0,6,0,6
Rev-PasswordManager,com.revature.passwordmanager.dto.request,AutofillSuggestionRequest.AutofillSuggestionRequestBuilder,0,18,0,0,0,1,0,4,0,4
Rev-PasswordManager,com.revature.passwordmanager.dto.request,SensitiveAccessRequest.SensitiveAccessRequestBuilder,0,27,0,0,0,1,0,5,0,5
Rev-PasswordManager,com.revature.passwordmanager.dto.request,ExpiryPolicyRequest,66,148,27,11,0,8,17,17,0,15
Rev-PasswordManager,com.revature.passwordmanager.dto.request,UserSettingsRequest,66,148,27,11,0,8,17,17,0,15
Rev-PasswordManager,com.revature.passwordmanager.dto.request,AutofillUsageRequest.AutofillUsageRequestBuilder,0,36,0,0,0,1,0,6,0,6
Rev-PasswordManager,com.revature.passwordmanager.dto.request,UserSettingsRequest.UserSettingsRequestBuilder,0,45,0,0,0,1,0,7,0,7
Rev-PasswordManager,com.revature.passwordmanager.dto.request,PasswordStrengthCheckRequest.PasswordStrengthCheckRequestBuilder,0,18,0,0,0,1,0,4,0,4
Rev-PasswordManager,com.revature.passwordmanager.dto.request,CreateShareRequest.CreateShareRequestBuilder,0,84,0,6,0,1,0,11,0,8
Rev-PasswordManager,com.revature.passwordmanager.service.vault,VaultService,331,1304,66,77,53,292,76,49,18,35
Rev-PasswordManager,com.revature.passwordmanager.service.vault,VaultSnapshotService,16,149,2,2,1,41,4,7,2,7
Rev-PasswordManager,com.revature.passwordmanager.service.vault,VaultTrashService,109,233,3,7,24,53,9,11,6,9
Rev-PasswordManager,com.revature.passwordmanager.service.vault,FolderService,61,200,1,7,4,47,8,10,7,7
Rev-PasswordManager,com.revature.passwordmanager.service.vault,CategoryService,1,285,2,10,0,59,2,18,0,14
Rev-PasswordManager,com.revature.passwordmanager.service.email,EmailService,123,61,0,0,30,15,2,3,2,3
Rev-PasswordManager,com.revature.passwordmanager.repository,UserRepository,0,12,0,0,0,2,0,2,0,2
Rev-PasswordManager,com.revature.passwordmanager.service.security,PasswordStrengthService,0,98,0,16,0,26,0,11,0,3
Rev-PasswordManager,com.revature.passwordmanager.service.security,AdaptiveAuthService,13,108,9,15,3,22,8,11,0,7
Rev-PasswordManager,com.revature.passwordmanager.service.security,AuditLogService,11,106,1,1,4,29,1,6,0,6
Rev-PasswordManager,com.revature.passwordmanager.service.security,PasswordGeneratorService,44,203,16,16,9,38,15,7,2,4
Rev-PasswordManager,com.revature.passwordmanager.service.security,GeoLocationService,0,34,2,6,0,10,2,5,0,3
Rev-PasswordManager,com.revature.passwordmanager.service.security,CaptchaService,0,61,0,10,0,13,0,9,0,4
Rev-PasswordManager,com.revature.passwordmanager.service.security,SecurityAlertService,26,178,2,4,5,46,4,8,2,7
Rev-PasswordManager,com.revature.passwordmanager.service.security,LoginAttemptService,33,122,6,2,8,38,4,8,1,7
Rev-PasswordManager,com.revature.passwordmanager.service.security,RateLimitService,19,84,3,9,6,16,3,8,0,5
Rev-PasswordManager,com.revature.passwordmanager.service.security,DuressService,5,193,1,5,0,29,2,7,1,5
Rev-PasswordManager,com.revature.passwordmanager.service.security,SecurityAuditService,142,421,28,30,36,96,19,23,0,13
Rev-PasswordManager,com.revature.passwordmanager.service.security,EncryptionService,87,67,2,0,19,13,3,8,2,8
Rev-PasswordManager,com.revature.passwordmanager.service.user,UserSettingsService,41,119,1,7,7,31,4,9,3,6
Rev-PasswordManager,com.revature.passwordmanager.service.user,AccountDeletionService,5,61,1,3,1,14,1,4,0,3
Rev-PasswordManager,com.revature.passwordmanager.service.user,UserService,173,259,16,6,35,54,11,6,1,5
Rev-PasswordManager,com.revature.passwordmanager.service.backup.importers,FirefoxImporter,108,5,14,0,21,2,8,2,1,2
Rev-PasswordManager,com.revature.passwordmanager.service.backup.importers,OnePasswordImporter,120,5,16,0,22,2,9,2,1,2
Rev-PasswordManager,com.revature.passwordmanager.service.backup.importers,ChromeImporter,92,5,12,0,19,2,7,2,1,2
Rev-PasswordManager,com.revature.passwordmanager.service.backup.importers,ImporterFactory,24,27,2,2,5,6,3,2,2,1
Rev-PasswordManager,com.revature.passwordmanager.service.backup.importers,LastPassImporter,103,5,14,0,20,2,8,2,1,2
